lemma,inflection_type,inflected_form,stem,reduplicated_form,subject,object,mood,number,diminutive,locative
giizhikanagek,pl,giizhikanagekoog,/giizhikanagekw-/,,,,,plural,FALSE,FALSE
giizhikaandag,sg,giizhikaandag,/giizhikaandagw-/,,,,,singular,FALSE,FALSE
giizhikaandag,pl,giizhikaandagoog,/giizhikaandagw-/,,,,,plural,FALSE,FALSE
giizhikaandag,dim,giizhikaandagoons,/giizhikaandagw-/,,,,,,TRUE,FALSE
giizhikaandag,loc,giizhikaandagong,/giizhikaandagw-/,,,,,,FALSE,TRUE
zegibanaanishiinh,sg,zegibanaanishiinh,/zegibanaanishiinhy-/,,,,,singular,FALSE,FALSE
zegibanaanishiinh,pl,zegibanaanishiinyag,/zegibanaanishiinhy-/,,,,,plural,FALSE,FALSE
zegibanaanishiinh,dim,zegibanaanishiinyens,/zegibanaanishiinhy-/,,,,,,TRUE,FALSE
giizhikisag,sg,giizhikisag,/giizhikisagw-/,,,,,singular,FALSE,FALSE
giizhikisag,pl,giizhikisagoog,/giizhikisagw-/,,,,,plural,FALSE,FALSE
giizhikisag,dim,giizhikisagoons,/giizhikisagw-/,,,,,,TRUE,FALSE
jiikakamigad,0s - ind,jiikakamigad,/jiikakamigad-/,,singular_inanimate,,independent,,FALSE,FALSE
jiikakamigad,3s - conj,jiikakamigak,/jiikakamigad-/,,third_person_singular,,conjunct,,FALSE,FALSE
jiikakamigad,0s - ch-conj,jaakakamigak,/jiikakamigad-/,,singular_inanimate,,changed_conjunct,,FALSE,FALSE
moonikaan,sg,moonikaan,/moonikaan-/,,,,,singular,FALSE,FALSE
moonikaan,pl,moonikaanan,/moonikaan-/,,,,,plural,FALSE,FALSE
moonikaan,dim,moonikaanens,/moonikaan-/,,,,,,TRUE,FALSE
moonikaan,loc,moonikaaning,/moonikaan-/,,,,,,FALSE,TRUE
waabiganidaabaan,sg,waabiganidaabaan,/waabiganidaabaan-/,,,,,singular,FALSE,FALSE
waabiganidaabaan,pl,waabiganidaabaanag,/waabiganidaabaan-/,,,,,plural,FALSE,FALSE
jiibayaki,sg,jiibayaki,/jiibayakyi-/,,,,,singular,FALSE,FALSE
jiibayaki,pl,jiibayakiin,/jiibayakyi-/,,,,,plural,FALSE,FALSE
jiibayaki,dim,jiibayakiins,/jiibayakyi-/,,,,,,TRUE,FALSE
jiibayaki,loc,jiibayakiing,/jiibayakyi-/,,,,,,FALSE,TRUE
abaabas,1s - 3s - ind,indabaabaswaa,/abaabasw-/,ayabaabasan,first_person_singular,third_person_singular,independent,,FALSE,FALSE
abaabas,1s - 3s - ind,nindabaabaswaa,/abaabasw-/,ayabaabasan,first_person_singular,third_person_singular,independent,,FALSE,FALSE
abaabas,1s - 3s - ind,nidabaabaswaa,/abaabasw-/,ayabaabasan,first_person_singular,third_person_singular,independent,,FALSE,FALSE
abaabas,3s - 1s - ind,indabaabasog,/abaabasw-/,ayabaabasan,third_person_singular,first_person_singular,independent,,FALSE,FALSE
abaabas,3s - 3' - ind,odabaabaswaan,/abaabasw-/,ayabaabasan,third_person_singular,third_person_obviative,independent,,FALSE,FALSE
abaabas,3s - 3' - conj,abaabaswaad,/abaabasw-/,ayabaabasan,third_person_singular,third_person_obviative,conjunct,,FALSE,FALSE
abaabas,3s - 3' - ch-conj,ebaabaswaad,/abaabasw-/,ayabaabasan,third_person_singular,third_person_obviative,changed_conjunct,,FALSE,FALSE
abaabas,2s - 3 - imp,abaabas,/abaabasw-/,ayabaabasan,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
abaabas,2s - 3 - imp,abaabaswi,/abaabasw-/,ayabaabasan,second_person_singular,third_person_number_not_shown,imperative,,FALSE,FALSE
miskwaabikoons,sg,miskwaabikoons,/miskwaabikoons-/,,,,,singular,FALSE,FALSE
miskwaabikoons,pl,miskwaabikoonsag,/miskwaabikoons-/,,,,,plural,FALSE,FALSE
anishinaabe-maawanjii'idiiwigamig,loc,anishinaabe-maawanjii'idiiwigamigong,/anishinaabe-maawanjii'idiiwigamigw-/,,,,,,FALSE,TRUE
anishinaabe-maawanjii'idiiwigamig,pl,anishinaabe-maawanjii'idiiwigamigoon,/anishinaabe-maawanjii'idiiwigamigw-/,,,,,plural,FALSE,FALSE
manidooke,1s - ind,nimanidooke,/manidooke-/,,first_person_singular,,independent,,FALSE,FALSE
manidooke,3s - ind,manidooke,/manidooke-/,,third_person_singular,,independent,,FALSE,FALSE
